title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
5.1.1.	Base	Base	0	0	0	0	0									TRUE	2	NP	NP	0	-	99		TRUE	6	NP	NP	0	-	511		TRUE	10	F	F	0	-	786										TRUE	1	NP	NP	0	-	99		TRUE	7	NP	NP	0	-	511		TRUE	10	NP	NP	0	-	796										
GRADIUSIC CYBER	Bits	Bits	4500	7500	8000	0	0									FALSE	5	NP	NP	0	-	442		FALSE	6	NP	NP	0	-	508		FALSE	7	NP	NP	0	-	609										FALSE	4	NP	NP	0	-	409		FALSE	9	NP	NP	0	-	556		FALSE	9	NP	NP	0	-	631										
R3	Bits	Bits	4000	5500	7000	0	0									FALSE	4	NP	NP	0	-	330		FALSE	5	NP	NP	0	-	368		FALSE	6	NP	NP	0	-	454										FALSE	4	NP	NP	0	-	384		FALSE	6	NP	NP	0	-	392		FALSE	8	NP	NP	0	-	475										
THE EARTH LIGHT	Bits	Bits	4500	8500	7500	0	0									FALSE	4	NP	NP	0	-	398		FALSE	7	NP	NP	0	-	530		FALSE	8	NP	NP	0	-	581										FALSE	5	NP	NP	0	-	456		FALSE	10	NP	NP	0	-	718		FALSE	7	NP	NP	0	-	581										
GAMBOL	Base	Base	0	0		0	0									TRUE	2	NP	NP	0	-	137		TRUE	2	NP	NP	0	-	137																		TRUE	2	NP	NP	0	-	137		TRUE	2	NP	NP	0	-	137																		
GENOM SCREAMS	Bits	Bits	3000	6000	9000	0	0									FALSE	3	NP	NP	0	-	211		FALSE	6	NP	NP	0	-	417		FALSE	9	NP	NP	0	-	536										FALSE	3	NP	NP	0	-	211		FALSE	6	NP	NP	0	-	417		FALSE	9	NP	NP	0	-	538										
22DUNK	Bits	Bits	4000	4500	5000	0	0									FALSE	3	NP	NP	0	-	265		FALSE	4	NP	NP	0	-	323		FALSE	5	NP	NP	0	-	329										FALSE	5	NP	NP	0	-	333		FALSE	5	NP	NP	0	-	334		FALSE	5	NP	NP	0	-	329										
BRILLIANT 2U	Bits	Bits	3000	4500	2000	0	0									FALSE	3	NP	NP	0	-	270		FALSE	4	NP	NP	0	-	330		FALSE	4	NP	NP	0	-	362										FALSE	3	NP	NP	0	-	288		FALSE	5	NP	NP	0	-	363																		
deep in you	Bits	Bits	3500	4000	6000	0	0									FALSE	4	NP	NP	0	-	250		FALSE	4	NP	NP	0	-	255		FALSE	5	NP	NP	0	-	333										FALSE	3	NP	NP	0	-	283		FALSE	4	NP	NP	0	-	293		FALSE	7	NP	NP	0	-	364										
KEEP ON MOVIN'	Base	Base	0	0		0	0									TRUE	2	NP	NP	0	-	98		TRUE	3	NP	NP	0	-	122																		TRUE	2	NP	NP	0	-	119		TRUE	3	NP	NP	0	-	122																		
