title,type,radar_notes,radar_peak,radar_scratch,radar_soflan,radar_charge,radar_chord,notes,radar_top
-65°C,A,152.86,144.73,39.62,0,120.01,140.35,1912,NOTES
-65°C,H,92.54,82.85,17.48,0,53.82,48.37,1157,NOTES
¡Viva!,A,88.84,81.43,36.38,0,33.82,87.99,1014,NOTES
¡Viva!,H,72.28,61.42,25.53,0,4.83,44.68,825,NOTES
.59,A,55.38,54.28,7.6,14.56,0,8.8,584,NOTES
.59,H,48.75,51.43,7.6,14.57,0,9.39,514,PEAK
((ଘ( ̇ ̇ )ଓ)) beyond reason,A,162.17,138.15,39.28,0,19.68,129.41,1988,NOTES
((ଘ( ̇ ̇ )ଓ)) beyond reason,H,90.11,77.14,13.69,0,17.65,15.59,1103,NOTES
(This Is Not) The Angels,A,113.17,101.31,45.94,171.5,0,113.21,1364,SOFLAN
(This Is Not) The Angels,H,61.31,55.72,26.59,153.78,0,33.89,739,SOFLAN
[ ]DENTITY,A,153.36,147.36,41.91,0,0.93,135.85,2000,NOTES
[ ]DENTITY,H,82.09,78.58,34.66,0,51.26,66.63,1070,NOTES
《GRANDMASTER》,A,122.87,110.52,57.14,0,44.65,96.53,1504,NOTES
《GRANDMASTER》,H,76.7,71.42,42.25,0,16.87,27.95,939,NOTES
《ORDERBREAKER》,A,102.69,87.14,59.52,0,167.53,83.85,1257,CHARGE
《ORDERBREAKER》,H,66.58,64.28,30.36,0,35.79,40.38,815,NOTES
《PL|RAYER》,A,116.01,117.1,39.28,0,9.37,119.27,1420,CHORD
《PL|RAYER》,H,72.38,77.14,33.92,0,7.49,59.68,886,PEAK
& Intelligence,A,130.96,105.26,98.76,0,37.81,106.65,1623,NOTES
& Intelligence,H,89.72,75.72,65.85,0,15.31,38.62,1112,NOTES
#CMFLG,A,140.09,126.31,61.31,0,6.09,122.15,1748,NOTES
#CMFLG,H,95.06,80,41.46,0,1.88,45.36,1186,NOTES
#MAGiCVLGiRL_TRVP_B3VTZ,A,140.18,126.31,56.51,0,67.5,131.76,1753,NOTES
